         82855265 function calls (80522673 primitive calls) in 312.271 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  5137401    1.715    0.000    2.266    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\enum.py:199(__get__)
    81982    0.214    0.000    2.188    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\tools\misc.py:91(is_capsule_file)
    30422    0.679    0.000    2.132    0.000 {built-in method appendRow}
  2562693    1.990    0.000    1.990    0.000 {method 'format' of 'str' objects}
  2606754    0.572    0.000    1.879    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:227(__str__)
    81269    0.198    0.000    1.854    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\tools\misc.py:77(is_bif_file)
    23929    1.779    0.000    1.844    0.000 {built-in method value}
      333    0.080    0.000    1.799    0.005 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:393(_load_rim)
  4620130    1.797    0.000    1.797    0.000 {method 'replace' of 'str' objects}
        5    0.000    0.000    1.776    0.355 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:232(on_section_changed)
      166    0.001    0.000    1.718    0.010 {built-in method insertRow}
      162    0.002    0.000    1.703    0.011 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\gff\gff_auto.py:66(read_gff)
       98    0.083    0.001    1.668    0.017 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\capsule.py:343(_load_erf)
      203    0.001    0.000    1.635    0.008 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\type.py:49(_autoclose)
   476584    0.889    0.000    1.606    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\utility\common\stream.py:464(read_uint32)
      162    0.003    0.000    1.570    0.010 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\gff\io_gff.py:62(load)
      164    0.004    0.000    1.529    0.009 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\extract\installation.py:2048(module_name)
    11120    0.102    0.000    1.475    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\queues.py:96(get)
       13    0.000    0.000    1.466    0.113 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:182(_chitin)
    92564    0.293    0.000    1.460    0.000 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\widgets\main_widgets.py:409(filterAcceptsRow)
12737/162    0.084    0.000    1.454    0.009 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\gff\io_gff.py:107(_load_struct)
        6    0.009    0.002    1.448    0.241 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\functools.py:930(wrapper)
47241/9506    0.192    0.000    1.443    0.000 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\gff\io_gff.py:135(_load_field)
     1260    0.044    0.000    1.403    0.001 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\pydevd.py:1768(process_internal_commands)
        4    0.000    0.000    1.390    0.348 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:631(on_open_resources)
  2291400    1.360    0.000    1.360    0.000 {method 'search' of 're.Pattern' objects}
        8    0.000    0.000    1.329    0.166 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\editors\pth.py:371(on_context_menu)
    11127    0.035    0.000    1.316    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:253(poll)
        4    0.000    0.000    1.299    0.325 c:\Users\boden\.cursor\extensions\ms-python.debugpy-2025.14.1-win32-x64\bundled\libs\debugpy\_vendored\pydevd\_pydevd_bundle\pydevd_comm.py:590(do_it)
    11127    0.115    0.000    1.251    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\multiprocessing\connection.py:342(_poll)
        1    0.000    0.000    1.215    1.215 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1645(refresh_saves_list)
 2298/490    0.040    0.000    1.187    0.002 G:\GitHub\PyKotor\Libraries\PyKotor\src\pykotor\resource\formats\gff\io_gff.py:215(_load_list)
    12984    0.431    0.000    1.178    0.000 {built-in method nt.stat}
   273394    0.501    0.000    1.175    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:277(_raw_path)
  1038717    1.165    0.000    1.165    0.000 {built-in method drawPath}
        9    0.000    0.000    1.161    0.129 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\data\installation.py:683(is_save_corrupted)
   101390    0.167    0.000    1.151    0.000 C:\Users\boden\AppData\Roaming\uv\python\cpython-3.13.5-windows-x86_64-none\Lib\pathlib\_local.py:289(drive)
        1    0.000    0.000    1.117    1.117 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1076(<lambda>)
        1    0.000    0.000    1.117    1.117 G:\GitHub\PyKotor\Tools\HolocronToolset\src\toolset\gui\windows\main.py:1062(prepare_task)
